seq,word,meaning,len
79,기호,어떤 뜻을 나타내기 위해 쓰는 여러 가지 표시.,2
80,나열,"차례대로 죽 벌여 늘어놓음.
나란히 줄을 지음.",2
81,내부,"사물의 안쪽 공간.
사회 조직이나 구조의 안쪽 범위.",2
82,단계,일이 변화해 나가는 각 과정.,2
83,단정,어떤 일에 대해 확실하다고 판단하고 결정함.,2
84,대강,자세하지 않고 간단한 줄거리.,2
85,대비,두 가지의 차이를 알아보기 위해 서로 비교함. 또는 그런 비교.,2
86,대조,"둘 이상의 것을 맞대어 같고 다름을 살펴봄.
서로 달라서 대비가 됨.",2
87,대책,어려운 상황을 이겨낼 수 있는 계획.,2
88,대칭,두 사물이 서로 크기나 모양이 정확히 같아 한 쌍을 이룸.,2
89,대표,"전체의 상태나 특징을 어느 하나로 잘 나타냄. 또는 그런 것.
어떤 조직이나 집단의 권리를 행사하거나 책임을 맡고 있는 사람.",2
90,대항,"지지 않으려고 맞서서 버팀.
서로 맞서서 승부를 겨룸.",2
91,도구,"어떤 일을 할 때 쓰이는 기구. 또는 연장.
어떤 목적을 이루기 위한 수단.",2
92,도달,목적한 곳이나 일정한 수준에 다다름.,2
93,독립,"남에게 의존하거나 매여 있지 않음.
다른 것에 붙어 있거나 속해 있지 않고 독자적으로 존재함.
한 나라가 완전한 주권을 가짐.",2
94,독창,혼자서 노래를 부름. 또는 혼자서 부르는 노래.,2
95,동등,등급이나 정도가 같음. 또는 그런 등급이나 정도.,2
96,동력,"수력, 전력, 화력, 원자력, 풍력 등을 사람이 쓸 수 있도록 바꾼 기계적인 에너지.
어떤 일을 발전시키고 앞으로 밀고 나가는 힘.",2
97,동의,"같은 의미.
같은 의견을 가짐.
다른 사람의 행위를 승인함.",2
98,등장,"사람이 무대 등에 나타남.
중요한 일이나 분야에서 새로운 사물이나 인물, 현상이 세상에 처음으로 나타남.
소설, 연극, 영화 등에 어떤 인물이 나타남.",2
99,모방,다른 것을 본뜨거나 남의 행동을 흉내 냄.,2
100,목표,"어떤 목적을 이루기 위하여 도달해야 할 구체적인 대상.
목적으로 삼은 곳.",2
101,무시,"중요하게 생각하지 않음.
다른 사람을 얕보거나 하찮게 여김.",2
102,미만,일정한 수량이나 정도에 이르지 못함.,2
103,미세,분간하기 어려울 정도로 아주 작음.,2
104,밀접,아주 가깝게 마주 닿아 있음. 또는 그런 관계에 있음.,2
105,반복,같은 일을 여러 번 계속함.,2
106,발견,아직 찾아내지 못했거나 세상에 알려지지 않은 것을 처음으로 찾아냄.,2
107,발달,"신체, 정서, 지능 등이 성장하거나 성숙함.
학문, 기술, 문명, 사회 등의 현상이 보다 높은 수준에 이름.
어떤 것의 세력이나 규모 등이 점차 커짐.",2
108,발명,지금까지 없던 새로운 기술이나 물건을 처음으로 생각하여 만들어 냄.,2
109,발생,어떤 일이 일어나거나 사물이 생겨남.,2
110,발전,"더 좋은 상태나 더 높은 단계로 나아감.
일이 어떤 방향으로 전개됨.",2
111,방식,일정한 방법이나 형식.,2
112,방안,일을 처리할 방법이나 계획.,2
113,방지,어떤 좋지 않은 일이나 현상이 일어나지 않도록 막음.,2
114,배경,"뒤쪽의 경치.
사건이나 사람 등과 관계있는 주변 상황.
뒤에서 받쳐 주는 힘이나 조건.
문학 작품에서, 시간적, 공간적, 사회적 환경.
공연에서, 무대 뒤에 꾸며 놓은 장치.",2
115,배열,일정한 순서나 간격으로 죽 벌여 놓음.,2
116,배출,안에서 만들어진 것을 밖으로 밀어 내보냄.,2
117,범위,일정하게 한정된 구역. 또는 어떤 힘이 미치는 한계.,2
118,법칙,"반드시 지켜야 하는 규범.
어떤 현상을 설명하기 위한 보편적 원리라고 믿어지는 원칙.",2
119,변경,다르게 바꾸거나 새롭게 고침.,2
120,변천,시간이 지남에 따라 바뀌고 변함.,2
121,변화,"무엇의 모양이나 상태, 성질 등이 달라짐.",2
122,보관,물건을 맡아 간직하여 둠.,2
123,보안,중요한 정보 등이 빠져나가서 위험이나 문제가 생기지 않도록 안전한 상태로 유지하고 보호함.,2
124,보완,모자라거나 부족한 것을 보충하여 완전하게 함.,2
125,보장,잘못되는 일이 없도록 보증하거나 보호함.,2
126,보충,부족한 것을 보태어 채움.,2
127,보호,위험하거나 곤란하지 않게 지키고 보살핌.,2
128,복사,"원래의 것을 다른 곳에 그대로 옮겨 놓음.
문서, 그림, 사진 등을 기계를 이용하여 종이 등에 똑같이 만들어 냄.
컴퓨터에서, 파일을 똑같이 만들어 다른 곳으로 옮김.",2
129,부정,그렇지 않다고 판단하여 결정하거나 옳지 않다고 반대함.,2
130,분류,여럿을 종류에 따라서 나눔.,2
131,분리,서로 나뉘어 떨어짐. 또는 그렇게 되게 함.,2
132,비율,기준이 되는 수나 양에 대한 어떤 값의 비.,2
133,비판,무엇에 대해 자세히 따져 옳고 그름을 밝히거나 잘못된 점을 지적함.,2
134,사고,어떤 것에 대하여 깊이 있게 생각함.,2
135,사례,이전에 실제로 일어난 예.,2
136,삭제,없애거나 지움.,2
137,상대,"서로 마주 대함. 또는 그런 대상.
서로 승부를 겨룸. 또는 그런 대상.
서로 맞대어 비교함.",2
138,상상,실제로 없는 것이나 경험하지 않은 것을 머릿속으로 그려 봄.,2
139,상태,사물이나 현상의 모양이나 형편.,2
140,상황,일이 진행되어 가는 형편이나 모양.,2
141,생략,전체에서 일부분을 줄이거나 빼어 짧게 또는 간단하게 만듦.,2
142,생산,사람이 생활하는 데 필요한 물건을 만듦.,2
143,설득,상대방이 그 말을 따르거나 이해하도록 잘 설명하거나 타이름.,2
144,성과,어떤 일을 이루어 낸 결과.,2
145,성능,기계 등이 지닌 성질이나 기능.,2
146,성장,"사람이나 동물 등이 자라서 점점 커짐.
사람이 꾸준히 노력을 하거나 경험을 쌓아 발전된 모습으로 자람.
사물의 규모나 세력 등이 점점 커짐.",2
147,성질,"사람이 가지고 있는 마음의 본래 바탕.
사물이나 현상이 가지고 있는 고유의 특징.",2
148,세기,"백 년을 단위로 하는 기간.
어떤 특성을 띠는 시대.
백 년에 한 번밖에 없을 정도로 드물거나 백 년 동안을 대표할 정도로 뛰어난 것.
백 년 동안을 세는 단위.",2
149,소비,"돈, 물건, 시간, 노력, 힘 등을 써서 없앰.",2
150,소용,어떤 이익이나 쓸모.,2
151,소유,자기의 것으로 가지고 있음. 또는 가지고 있는 물건.,2
152,소재,"어떤 것을 만드는 데 바탕이 되는 재료.
예술 작품을 만드는 데 바탕이 되는 구체적이거나 추상적인 대상.
글의 내용을 이루는 재료.",2
153,소통,"막히지 않고 서로 잘 통함.
오해가 없도록 뜻이나 생각이 서로 잘 통함.",2
154,수거,거두어 감.,2
155,수단,"어떤 목적을 이루기 위하여 쓰는 방법이나 도구.
어떤 일을 해 나가는 꾀나 솜씨.",2
156,수립,"국가, 정부나 제도, 계획 등을 세움.",2
157,수용,어떤 것을 받아들임.,2
158,수정,잘못된 것을 바로잡거나 다듬어서 바르게 고침.,2
159,수준,"사물의 가치나 질 등을 판단하는 기준이 되는 정도.
일반적으로 보통 정도라고 생각되는 기준.",2
160,수집,취미나 연구를 위해 물건이나 자료 등을 찾아서 모음.,2
161,습득,학문이나 기술 등을 배워서 자기 것으로 만듦.,2
162,시도,어떤 일을 이루기 위하여 계획하거나 행동함.,2
163,실시,"어떤 일이나 법, 제도 등을 실제로 행함.",2
164,실천,"이론이나 계획, 생각한 것을 실제 행동으로 옮김.",2
165,실행,"실제로 행함.
컴퓨터 프로그램을 작동시키는 일.",2
166,실험,"어떤 일을 하기 전에 이론이나 생각에 따라 실제로 해 봄.
과학에서 어떤 이론이 옳은지 알아보기 위해 일정한 조건이나 상황을 만들어서 그 현상을 관찰하고 측정함.
새로운 형식이나 방법을 사용해 봄.",2
167,심사,잘하고 못한 것을 가리기 위해 자세히 살핌.,2
168,안정,변하거나 흔들리지 않고 일정한 상태를 유지함.,2
169,연구,어떤 사물이나 일에 관련된 사실을 밝히기 위해 그에 대해 자세히 조사하고 분석하는 일.,2
170,영향,어떤 것의 효과나 작용이 다른 것에 미치는 것.,2
171,예상,앞으로 있을 일이나 상황을 짐작함. 또는 그런 내용.,2
172,예시,예를 들어 보임.,2
173,예외,일반적인 규칙이나 예에서 벗어나는 일.,2
174,예정,앞으로 할 일을 미리 정하거나 예상함.,2
175,예측,앞으로의 일을 미리 추측함.,2
176,완벽,흠이나 부족함이 없이 완전함.,2
177,완성,완전하게 다 이룸.,2
178,완전,부족한 점이 없이 모든 것이 다 갖추어져 있음.,2
179,외부,"밖이 되는 부분.
어떤 조직의 밖.",2
180,요구,필요하거나 받아야 할 것을 달라고 청함.,2
181,요약,말이나 글에서 중요한 것을 골라 짧게 만듦.,2
182,요점,가장 중요하고 중심이 되는 사항.,2
183,요청,필요한 일을 해 달라고 부탁함. 또는 그런 부탁.,2
184,용도,쓰이는 곳이나 목적.,2
185,우수,여럿 중에서 뛰어남.,2
186,운영,"조직이나 기구, 사업체 등을 관리하고 이끌어 나감.",2
187,원격,멀리 떨어져 있음.,2
188,원인,어떤 일이 일어나게 하거나 어떤 사물의 상태를 바꾸는 근본이 된 일이나 사건.,2
189,유래,사물이나 일이 생겨남. 또는 그 사물이나 일이 생겨난 내력.,2
190,유사,서로 비슷함.,2
191,유용,쓸모가 있음.,2
192,유의,마음에 두고 조심하며 신경을 씀.,2
193,유익,이롭거나 도움이 될 만함.,2
194,유지,어떤 상태나 상황 등을 그대로 이어 나감.,2
195,유형,"성질이나 특징, 모양 등이 비슷한 것끼리 묶은 하나의 무리. 또는 그 무리에 속하는 것.",2
196,의견,어떤 대상이나 현상 등에 대해 나름대로 판단하여 가지는 생각.,2
197,의도,무엇을 하고자 하는 생각이나 계획.,2
198,의의,"말이나 글의 속에 담긴 깊은 뜻.
어떤 사실이나 행위 등이 갖는 중요성이나 가치.
하나의 말이 가리키는 것.",2
199,의존,어떠한 일을 자신의 힘으로 하지 못하고 다른 것의 도움을 받아 의지함.,2
200,의지,"다른 것에 몸을 기댐. 또는 그렇게 하는 대상.
다른 것에 마음을 기대어 도움을 받음. 또는 그렇게 하는 대상.",2
201,이동,움직여서 옮김. 또는 움직여서 자리를 바꿈.,2
202,이하,"수량이나 정도가 일정한 기준을 포함하여 그보다 적거나 모자란 것.
순서나 위치가 일정한 기준보다 뒤거나 아래인 것.",2
203,인정,어떤 것이 확실하다고 여기거나 받아들임.,2
204,자극,"어떠한 작용을 주어 감각이나 마음에 반응을 일으키게 함. 또는 그런 사물.
사람이나 동물의 기관 등에 작용하여 반응을 일으키게 함. 또는 그런 사물.",2
205,자료,연구나 조사를 하는 데 기본이 되는 재료.,2
206,자주,남의?보호나?간섭을?받지?아니하고?자기?일을?스스로?처리함.,2
207,작동,기계 등이 움직여 일함. 또는 기계 등을 움직여 일하게 함.,2
208,전달,"사물을 어떤 대상에게 전하여 받게 함.
내용이나 뜻을 전하여 알게 함.
신호나 자극 등을 다른 곳에 보내거나 전해지도록 함.",2
209,절차,일을 해 나갈 때 거쳐야 하는 순서나 방법.,2
210,접수,"신청이나 신고 등을 말이나 문서로 받음.
돈이나 물건 등을 받음.",2
211,접촉,"서로 맞닿음.
가까이 대하거나 만남을 가짐.",2
212,정보,"어떤 사실이나 현상을 관찰하거나 측정하여 모은 자료를 정리한 지식. 또는 그 자료.
컴퓨터 등과 같은 전자 기술을 통해 얻는 지식.",2
213,정상,"산 등의 맨 꼭대기.
그 이상 더없는 최고의 상태.
한 나라의 가장 중요한 자리의 인물.",2
214,정지,"움직이고 있던 것이 멈춤. 또는 멈추게 함.
하고 있던 일을 그만둠.",2
215,제도,"관습, 도덕, 법률 등의 규범이나 사회 구조의 체계.",2
216,제안,의견이나 안건으로 내놓음.,2
217,조건,"어떤 일을 이루게 하기 위하여 미리 갖추어야 할 상태나 요소.
어떤 일을 하기에 앞서 내놓는 요구나 견해.",2
218,조사,어떤 일이나 사물의 내용을 알기 위하여 자세히 살펴보거나 찾아봄.,2
219,종료,어떤 행동이나 일이 끝남. 또는 행동이나 일을 끝마침.,2
220,주의,"마음에 새겨 두고 조심함.
어떤 상태나 일에 관심을 집중함.
경고나 충고의 뜻으로 알림.",2
221,주장,자신의 의견이나 신념을 굳게 내세움. 또는 그런 의견이나 신념.,2
222,주제,"대화나 연구 등에서 중심이 되는 문제.
소설, 그림, 영화 등과 같은 예술 작품에서 지은이가 표현하고자 하는 주된 생각.",2
223,준수,"명령이나 규칙, 법률 등을 지킴.",2
224,중립,어느 한쪽에 치우치지 않고 중간 입장에 섬. 또는 그런 태도.,2
225,중복,되풀이하거나 겹침.,2
226,중시,매우 크고 중요하게 여김.,2
227,증거,"어떤 사건이나 사실을 확인할 수 있는 근거.
법에서 재판의 사실을 인정하기 위해 필요한 것.",2
228,증명,"어떤 사건이나 내용이나 판단이 진실인지 아닌지를 증거를 들어서 밝힘.
어떤 사실이 진실임을 밝히는 문서.
수학이나 논리학에서, 어떤 명제나 판단이 진실인지 아닌지를 근본 원리로부터 이끌어 내어 밝힘.",2
229,지속,어떤 일이나 상태가 오래 계속됨. 또는 어떤 일이나 상태를 오래 계속함.,2
230,지시,"어떤 것을 가리켜서 보게 함.
무엇을 하라고 시킴. 또는 그 내용.",2
231,지식,어떤 대상에 대하여 배우거나 직접 경험하여 알게 된 내용.,2
232,지원,물질이나 행동으로 도움.,2
233,지적,"어떤 것을 꼭 집어서 분명하게 가리킴.
잘못된 점이나 고쳐야 할 점을 가리켜 말함.",2
234,지점,어떤 지역 안의 특정한 곳.,2
235,지정,"가리켜 분명하게 정함.
공공 기관이나 단체, 개인 등이 어떤 것을 특별한 자격이나 가치가 있는 것으로 정함.",2
236,지지,"어떤 사람이나 단체 등이 내세우는 주의나 의견 등에 찬성하고 따름.
어떤 것을 붙들어서 버티게 함.",2
237,지표,"방향이나 목적, 기준 등을 나타내는 표지.",2
238,진출,"어떤 방면으로 활동 범위나 세력을 넓혀 나아감.
어떤 곳을 향해 앞으로 나아감.",2
239,집중,"한곳을 중심으로 하여 모임. 또는 그렇게 모음.
한 가지 일에 모든 힘을 쏟아부음.",2
240,차단,"액체나 기체 등의 흐름을 막거나 끊어서 통하지 못하게 함.
다른 것과의 관계나 접촉을 막거나 끊음.",2
241,참가,"모임이나 단체, 경기, 행사 등의 자리에 가서 함께함.",2
242,참여,여러 사람이 같이 하는 어떤 일에 끼어들어 함께 일함.,2
243,창의,지금까지 없던 새로운 것을 생각해 냄. 또는 그런 생각.,2
244,창조,"전에 없던 것을 처음으로 만들거나 새롭게 이룩함.
신이 우주 만물을 처음으로 만듦.",2
245,처리,"일이나 사무, 사건을 절차에 따라 정리해 마무리함.
어떤 결과를 얻기 위해 화학적, 물리적 작용을 일으킴.",2
246,체험,몸으로 직접 겪음. 또는 그런 경험.,2
247,초과,일정한 기준을 넘음.,2
248,총합,모두를 합함.,2
249,추리,알고 있는 것을 바탕으로 알지 못하는 것을 미루어 생각함.,2
250,추측,어떤 사실이나 보이는 것을 통해서 다른 무엇을 미루어 짐작함.,2
251,출처,"말이나 사물이 생기거나 나온 곳.
사람이 다니거나 가는 곳.",2
252,충돌,서로 세게 맞부딪치거나 맞섬.,2
253,충족,"일정한 기준이나 분량을 채워 모자람이 없게 함.
넉넉하여 모자람이 없음.",2
254,측정,일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 잼.,2
255,타협,어떤 일을 서로 양보하여 의논함.,2
256,탐구,학문 등을 깊이 파고들어 연구함.,2
257,탐색,알려지지 않은 사물이나 현상을 찾아내거나 밝히기 위해 살피어 찾음.,2
258,토대,"건물을 지탱하는, 건물의 제일 밑부분.
(비유적으로) 어떤 일이나 사물의 바탕이 되는 기초.",2
259,통과,"어떤 장소나 때를 거쳐서 지나감.
멈추었다가 가도록 예정된 곳을 그냥 지나침.
검사, 시험, 심의 등에서 해당 기준이나 조건에 맞아 인정되거나 합격함.
신청서나 안건 등이 심사를 거쳐 승인됨.
장애물이나 어려운 고비 등을 뚫고 지나감.",2
260,통일,"나누어지거나 갈라진 것들을 합쳐서 하나가 되게 함.
서로 다른 것들을 같게 함.
여러 가지 생각을 버리고 정신이나 마음을 집중함.",2
261,통제,"어떤 방침이나 목적에 따라 행위를 하지 못하게 막음.
권력이나 힘으로 언론이나 경제 활동 등을 하지 못하게 막음.",2
262,특색,보통의 것과 차이가 나게 다른 점.,2
263,특성,일정한 사물에만 있는 보통과 매우 차이가 나게 다른 성질.,2
264,특징,다른 것에 비해 특별히 달라 눈에 띄는 점.,2
265,파괴,"때려 부수거나 깨뜨려 무너뜨림.
조직, 질서, 관계 등을 깨뜨려 무너뜨림.",2
266,파악,어떤 일이나 대상의 내용이나 상황을 확실하게 이해하여 앎.,2
267,판단,논리나 기준에 따라 어떠한 것에 대한 생각을 정함.,2
268,판명,어떤 사실을 판단하여 분명하게 밝힘.,2
269,판별,옳고 그름이나 좋고 나쁨을 판단하여 구별함.,2
270,판정,옳고 그름이나 좋고 나쁨을 구별하여 결정함.,2
271,편의,형편이나 조건 등이 편하고 좋음.,2
272,평가,"사물의 값이나 가치, 수준 등을 헤아려 정함. 또는 그 값이나 가치, 수준.",2
273,폐기,"못 쓰게 된 것을 버림.
조약, 법령, 계약, 약속 등의 효과를 없어지게 함.",2
274,폐지,"실시해 오던 제도나 법규, 일 등을 그만두거나 없앰.",2
275,포기,"하려던 일이나 생각을 중간에 그만둠.
자기의 권리나 자격, 소유한 물건 등을 버림.",2
276,포함,어떤 무리나 범위에 함께 들어 있거나 함께 넣음.,2
277,표본,"본보기로 삼을 만한 것.
생물의 몸 전체나 일부에 적당한 처리를 하여 보존할 수 있게 한 것.
통계에서, 어느 집단의 일부를 조사한 결과로 그 집단 전체의 성질을 짐작할 수 있는 통계 자료.",2
278,표시,어떤 사항을 알리는 내용을 겉에 드러내 보임.,2
279,표준,"사물의 성격이나 정도 등을 알기 위한 근거나 기준.
일반적이거나 평균적인 것.",2
280,표현,"느낌이나 생각 등을 말, 글, 몸짓 등으로 나타내어 겉으로 드러냄.",2
281,필수,꼭 있어야 하거나 해야 함.,2
282,학습,배워서 익힘.,2
283,합동,"둘 이상의 집단이나 개인이 모여 일을 함께함.
두 개의 도형이 크기와 모양이 똑같은 것.",2
284,해결,"사건이나 문제, 일 등을 잘 처리해 끝을 냄.",2
285,해답,질문이나 문제를 풀이함. 또는 그런 것.,2
286,해당,"무엇과 관계가 있는 바로 그것.
어떤 범위나 조건 등에 바로 들어맞음.",2
287,해법,"어렵거나 곤란한 일을 푸는 방법.
수학 문제를 푸는 방법.",2
288,해석,"문장으로 표현된 내용을 이해하고 설명함. 또는 그 내용.
사물이나 행위 등의 내용을 판단하고 이해하는 일. 또는 그 내용.",2
289,해설,어려운 문제나 사건의 내용 등을 알기 쉽게 풀어 설명함. 또는 그런 글이나 책.,2
290,핵심,가장 중심이 되거나 중요한 부분.,2
291,행위,사람이 의지를 가지고 하는 짓.,2
292,향상,"실력, 수준, 기술 등이 더 나아짐. 또는 나아지게 함.",2
293,허가,"행동이나 일을 할 수 있게 허락함.
법에 의해 금지되어 있는 행위를 특정한 경우에 한해 허용하여 이를 행할 수 있게 함.",2
294,현실,현재 실제로 있는 사실이나 상태.,2
295,현장,"사물이 현재 있는 곳.
일이 벌어졌거나 벌어지고 있는 곳.
일을 실제로 진행하거나 작업하는 곳.",2
296,협동,어떤 일을 하기 위해 서로 마음과 힘을 하나로 합함.,2
297,협력,힘을 합해 서로 도움.,2
298,협의,여러 사람이 모여 서로 의논함.,2
299,협조,힘을 보태어 도움.,2
300,형태,"사물의 생긴 모양.
어떠한 구조나 전체를 이루고 있는 사물이 일정하게 갖추고 있는 모양.",2
